CODE,BARCODE,DESC,LANDFRTCD,NOTINUSE,SELLVAT1,STATCODE,TOTALINSTK,,
*OVC22BK,5.01652E+12,22mm Ceramic Overflow Cap - Black,3,,0.3,A,,,
*OVC22WT,5.01652E+12,22mm Ceramic Overflow Cap - White,3,,0.3,A,,,
*OVI24WT,5.01652E+12,24mm Isocast Overflow Cap - White,3,,0.3,A,,,
000016000,,16mm TURNBUCKLES,3,F,2.1,A,,,
000641,,18mm OSB TG2 LOFTBOARD 1220 x 300 3 pack,3,T,8.99,D,0,,
0010,3.25392E+12,4L FOODKEEPER RECT,3,F,7.65,A,,,
001138,,FLAT ROOF OUTLET LEAF GUARD ONLY,3,F,22.14,A,0,,
001411,,RESITRIX ALUTRIX 600 VCL 1.08MT X 40MT,1,F,492,A,0,,
001701,,FLAT ROOF OUTLET TORCH ON 100MM,3,F,27.06,A,0,,
002001,5.09968E+12,FLUORESCENT TUBE 3FT SOLUS,3,F,4.39,A,18,,
002002,5.09968E+12,FLUORESCENT TUBE 4FT SOLUS,3,F,4.49,A,20,,
002003,5.09968E+12,FLUORESCENT TUBE 5FT SOLUS,3,T,4.59,D,0,,
002005,5.09968E+12,SOLUS FL TUBE TL5 8W,3,T,5.99,D,0,,
002010,5.09968E+12,SOLUS CIRCULAR 22W BULB G10Q,3,T,9.99,D,0,,
00308,5.6039E+12,SANDPAPER NO.40 PER 50MT ROLL,3,F,76.24,A,,,
00309,5.6039E+12,SANDPAPER NO 60 PER 50m ROLL,3,F,66.07,A,,,
00310,5.6039E+12,SANDPAPER NO.80 PER 50MT ROLL.,3,F,57.84,A,,,
005530,5.39143E+12,ASHPAN FOR 16in GRATE,3,F,6.55,A,,,
005554,5.39143E+12,ASHPAN FOR 18in GRATE,3,T,7.12,D,,,
006315,5.39143E+12,"17"" BLACK COAL SAVER",3,T,5.85,D,,,
006339,5.39143E+12,"DEVILLE 18"" POKER BLACK",3,T,4.07,D,,,
0065290,,"SELF TAP SCREWS 3/4""x 8",3,T,1.29,D,0,,
007020,5.09968E+12,SOLUS R7 HALOGEN (300W = 230W),3,T,4.99,D,0,,
007020A,8.7279E+12,SOLUS R7 HALOGEN (300W = 230W),3,T,4.99,D,0,,
007033,5.09968E+12,SOLUS G4 HALOGEN 20W,3,T,5.67,D,0,,
007034,5.09968E+12,SOLUS G6 HALOGEN (50W),3,T,4.99,D,0,,
0086,5.01023E+12,"17"" RUBBER GLOVE",3,F,16.25,A,5,,
00937,8.71125E+12,JERRY CAN 5LT,3,T,8.85,D,0,,
010282899,LPN/00683337,SCHELL WC CONTROL EDITION E MANUAL SS,3,F,418.2,A,0,,
0102EL4,038548001067,10R VISE GRIP,3,F,19,A,0,,
0108,5.41201E+12,EXPLORER STORAGE BOX 185lt,3,T,39,D,0,,
012828,5.39143E+12,SPRAYER PROPLUS 5 LITRE,3,T,17,D,0,,
012835,5.39143E+12,SPRAYER PROPLUS 7 LITRE,3,T,19.95,D,0,,
014016,5.09968E+12,SOLUS 40W E27 REFLECTOR R80,3,F,3.99,A,10,,
015201,8.42008E+12,K-50AEL 50MM L/SHACKLE,3,F,20.47,A,0,,
015201A,5.09968E+12,SOLUS PLD 26W G24D BULB 2PIN 26W,3,T,5.99,D,0,,
